State,Education Budget,Unemployment Rate,Population Estimate,SNAPS household_participants,SNAPS individual_participants,SNAPS cost,SNAPS cost_per_person,SNAPS cost_per_household,Median Income,Year
Virginia,4526294721.0,3.0,8501286,352312.6667,736220.9167,1051800978.0,248.784925,119.05405,83243.0,2018
Washington,2501109120.0,4.5,7523869,501867.9167,877243.9167,1268734555.0,210.6687333,120.5227833,79726.0,2018
West Virginia,1161520349.0,5.3,1804291,165378.4167,321008.8333,440298715.0,221.8642583,114.300775,54566.0,2018
Wisconsin,2461654557.0,3.0,5807406,329203.0,652884.5833,816882114.0,206.782775,104.2657667,67574.0,2018
Wyoming,235790083.1,4.1,577601,12988.8333,29330.1667,40676283.0,260.9695667,115.5701,67477.0,2018
Alabama,2775338135.0,3.2,4903185,315551.0,667043.0,1032064886.0,272.56,128.94,,2019
Alaska,400523164.6,5.6,731545,35493.0,78932.0,171091672.0,401.7,180.63,,2019
Arizona,5143402498.0,4.8,7278717,345106.0,736883.0,1146712214.0,276.9,129.68,,2019
Arkansas,1350409184.0,3.5,3017804,159231.0,354917.0,460333605.0,240.92,108.08,,2019
California,17212221075.0,4.1,39512223,1803402.0,3529470.0,5977281299.0,276.2,141.13,,2019
Colorado,2788049026.0,2.7,5758736,207748.0,415289.0,639000457.0,256.32,128.22,,2019
Connecticut,1828889175.0,3.6,3565287,197761.0,340447.0,584718600.0,246.39,143.13,,2019
Delaware,473804823.1,3.6,973764,58622.0,119787.0,178138585.0,253.23,123.93,,2019
District of Columbia,1838047295.0,5.5,705749,60156.0,101230.0,172078913.0,238.38,141.66,,2019
Florida,8753066640.0,3.2,21477737,1429884.0,2649741.0,4035386245.0,235.18,126.91,,2019
Georgia,5062246917.0,3.6,10617423,614750.0,1332536.0,2115101241.0,286.72,132.27,,2019
Hawaii,449100414.2,2.5,1415872,74820.0,144922.0,448431408.0,499.46,257.86,,2019
Idaho,688908434.0,2.9,1787065,61390.0,135922.0,192918233.0,261.88,118.28,,2019
Illinois,6657828557.0,4.0,12671821,816044.0,1639396.0,2646035880.0,270.21,134.5,,2019
Indiana,3385141198.0,3.3,6732219,238303.0,530384.0,819644875.0,286.63,128.78,,2019
Iowa,1666660077.0,2.7,3155070,142502.0,295682.0,429315218.0,251.06,121.0,,2019
Kansas,1439276872.0,3.3,2913314,87158.0,185329.0,265322548.0,253.68,119.3,,2019
Kentucky,2208575378.0,4.1,4467673,226832.0,502241.0,739297747.0,271.6,122.67,,2019
Louisiana,2513977136.0,4.6,4648794,348643.0,749560.0,1214657938.0,290.33,135.04,,2019
Maine,672684725.3,2.9,1344212,78862.0,144433.0,203630527.0,215.18,117.49,,2019
Maryland,2480450206.0,3.4,6045680,308167.0,570444.0,878649666.0,237.6,128.36,,2019
Massachusetts,4052189459.0,3.0,6892503,416128.0,703516.0,1131148466.0,226.52,133.99,,2019
Michigan,4696645199.0,4.1,9986857,631699.0,1181972.0,1701430344.0,224.45,119.96,,2019
Minnesota,3770573766.0,3.3,5639632,193684.0,381779.0,509464759.0,219.2,111.2,,2019
Mississippi,1601803745.0,5.5,2976149,195903.0,420873.0,605780127.0,257.69,119.95,,2019
Missouri,3148464544.0,3.2,6137428,299268.0,639338.0,996212141.0,277.4,129.85,,2019
Montana,484861276.7,3.5,1068778,48974.0,99368.0,146944184.0,250.04,123.23,,2019
Nebraska,1028414429.0,3.1,1934408,67643.0,148768.0,221960791.0,273.45,124.33,,2019
Nevada,853245313.1,4.1,3080156,206100.0,391569.0,587953503.0,237.73,125.13,,2019
New Hampshire,1338124989.0,2.6,1359711,36685.0,70412.0,92889191.0,211.01,109.94,,2019
New Jersey,3447693060.0,3.5,8882190,325992.0,649128.0,953558696.0,243.76,122.42,,2019
New Mexico,851116686.1,5.0,2096829,204245.0,415161.0,632907856.0,258.23,127.04,,2019
New York,11323969827.0,3.9,19453561,1512387.0,2661700.0,4339617966.0,239.12,135.87,,2019
North Carolina,4320490529.0,3.9,10488084,590075.0,1228424.0,1863656810.0,263.2,126.43,,2019
North Dakota,409069795.8,2.2,762062,21864.0,45312.0,68485818.0,261.03,125.95,,2019
Ohio,5377536434.0,4.2,11689100,632171.0,1273257.0,2020497444.0,266.34,132.24,,2019
Oklahoma,1852146940.0,3.1,3956971,247673.0,531728.0,819546294.0,275.75,128.44,,2019
Oregon,1864317520.0,3.7,4217737,324903.0,554927.0,884189650.0,226.78,132.78,,2019
Pennsylvania,7301398795.0,4.3,12801989,872822.0,1627640.0,2513696584.0,240.0,128.7,,2019
Rhode Island,742469353.0,3.5,1059361,84445.0,141232.0,244223564.0,241.01,144.1,,2019
South Carolina,2264532149.0,2.8,5148714,259707.0,558722.0,854652751.0,274.24,127.47,,2019
South Dakota,546790777.2,2.8,884659,35168.0,75020.0,121995672.0,289.08,135.51,,2019
Tennessee,3009125001.0,3.3,6829174,398958.0,832130.0,1307248122.0,273.05,130.91,,2019
Texas,11585891325.0,3.5,28995881,1364935.0,3187238.0,4767112796.0,291.05,124.64,,2019
Utah,1910906004.0,2.5,3205958,67803.0,160829.0,234552832.0,288.28,121.53,,2019
Vermont,439616180.0,2.1,623989,38423.0,68277.0,100248674.0,217.42,122.36,,2019
Virginia,4493669761.0,2.8,8535519,318522.0,654882.0,1002380166.0,262.25,127.55,,2019
Washington,2471252194.0,4.2,7614893,482025.0,833128.0,1192380309.0,206.14,119.27,,2019
West Virginia,1147837812.0,5.0,1792147,148108.0,282662.0,397899950.0,223.88,117.31,,2019
Wisconsin,2371695509.0,3.2,5822434,291721.0,572323.0,778373061.0,222.35,113.34,,2019
Wyoming,231368787.8,3.7,578759,10912.0,24309.0,36277115.0,277.04,124.36,,2019
